Impact_group	Impact_term_NL	Impact_term_EN	Condition	Neg-filter	Category	Comments	Comments			Valid cats
verb_continuous_phrase	in het verhaal opgenomen	absorbed in the story			Att					
verb_continuous_phrase	in het verhaal opgenomen	absorbed in the story			N					
adjective_term_book_related		absorbing			N					
adjective_term_book_related		absorbing	@topic		R					
adjective_term_book_related		absurd			R					
adjective_term_book_related		accessible			A					
adjective_term		acute			A					
adjective_term_book_related	bewonderenswaardig	admirable			A					
adjective_term_book_related	bewonderenswaardig	admirable	@plot		N					
adjective_term_book_related	bewonderenswaardig	admirable	@character		N					
adjective_term_book_related	bewonderenswaardig	admirable	@style		S					
noun_term_reader_related	bewondering	admiration	@plot		N					
noun_term_reader_related	bewondering	admiration	@character		N					
noun_term_reader_related	bewondering	admiration	@style		S					
noun_term_reader_related	bewondering	admiration	@reader		A					
verb_term	bewonderen	admire	@plot		N					
verb_term	bewonderen	admire	@character		N					
verb_term	bewonderen	admire	@style		S					
verb_term	bewonderen	admire			A					
adjective_term_book_related		adorable			A					
adjective_term_book_related	avontuurlijk	adventurous			N					
adjective_term_book_related	esthetisch	aesthetic			S					
adjective_term_reader_related		afraid			A					
adjective_term_book_related	ergerlijk	aggravating			Neg					
noun_continuous_phrase	van de hak op de tak	all over the place			Neg					
adjective_term_book_related	allegorisch	allegorical			Neu					
noun_term_book_related	allegorie	allegory			Neu					
noun_term_book_related		alliteration			Neu					
adjective_term_book_related		amateurish			Neg					
adjective_term_reader_related	versteld	amazed			A					
adjective_term_book_related	super	amazing	@general		A					
adjective_term_book_related	super	amazing	@plot		N					
adjective_term_book_related	super	amazing	@character		N					
adjective_term_book_related	super	amazing	@topic		R					
adjective_term_book_related	super	amazing	@style		S					
adjective_term_book_related		ambiguous			R					
adjective_term_reader_related	vermaakt	amused	@reader		A					
noun_term_book_related	vermaak	amusement			A					
adjective_term_book_related	aardig	amusing			A					
noun_term_book_related		anger	@reader		A					
adjective_term_reader_related	kwaad	angry	@reader		A					
noun_term_book_related		angst			A					
adjective_term_book_related		angsty			A					
verb_term	ergeren	annoy	@reader		Neg					
noun_term_reader_related		annoyance			Neg					
adjective_term_reader_related	geirriteerd	annoyed			Neg					
adjective_term_book_related		annoying			Neg					
adjective_term_book_related		anticlimactic			Neg					
noun_term_book_related	anticlimax	anticlimax			Neg					
noun_term_book_related	aantrekkelijkheid	appeal			A					
adjective_term_book_related	aansprekend	appealing			A					
adjective_term_book_related	aantrekkelijk	appealing	@style		S					
adjective_term_book_related	aantrekkelijk	appealing	@character		N					
verb_term	waarderen	appreciate			A					
noun_term_reader_related	waardering	appreciation	@plot		N					
noun_term_reader_related	waardering	appreciation	@character		N					
noun_term_reader_related	waardering	appreciation	@style		S					
noun_term_reader_related	waardering	appreciation			A					
other		argh			A					
adjective_term_book_related		artistic	@style		S					
adjective_term_book_related	verbijsterend	astonishing			A					
adjective_term_book_related	scherpzinnig	astute			S					
adjective_term_book_related	sfeervol	atmospheric			S					
adjective_term_book_related		attractive			A					
adjective_term_book_related	authentiek	authentic	@character		N					
adjective_term_book_related	authentiek	authentic	@style		S					
adjective_term_book_related	authentiek	authentic			A					
adjective_term_reader_related	bewust	aware			R					
noun_term_reader_related	ontzag	awe	@reader		A					
adjective_term_book_related		awesome	@general		A					
adjective_term_book_related		awesome	@plot		N					
adjective_term_book_related		awesome	@character		N					
adjective_term_book_related		awesome	@style		S					
adjective_term_book_related		awkward	@plot		N					
adjective_term_book_related		awkward	@character		N					
adjective_term_book_related		awkward	@style		Neg					
adjective_term_book_related		awkward			A					
other		awkwardly	@style		Neg					
adjective_term_book_related	slecht	bad	@general		Neg					
adjective_term_book_related	slecht	bad	@style		Neg					
noun_term_book_related	wansmaak	bad taste			Neg					
other_continuous_phrase		badly (written|phrased|done)			Neg					
verb_term	verbijsteren	baffle			Sur					
adjective_term_book_related	banaal	banal			Neg					
noun_term_book_related		banter			H					
adjective_term_book_related	mooi	beautiful	@plot		N					
adjective_term_book_related	mooi	beautiful	@character		N					
adjective_term_book_related	mooi	beautiful	@style		S					
other		beautifully	@style		S					
noun_discontinuous_phrase		before (my|your) eyes			N					
adjective_term_book_related	geloofwaardig	believable			R					
adjective_term_book_related	geloofwaardig	believable			N					
adjective_term_book_related		bittersweet			N					
adjective_term_book_related		bizarre			R					
adjective_term_book_related		bland			Neg					
adjective_term_book_related	troosteloos	bleak			A					
adjective_term_book_related		blunt	@general		Neg					
adjective_term_book_related		blunt	@style		Neg					
adjective_term_book_related		bold	@general		R					
verb_term	vervelen	bore	@reader		Neg					
noun_term_book_related		bore			Neg					
noun_term_reader_related	verveling	boredom	%(out of)		Neg					
adjective_term_book_related	saai	boring			Neg					
verb_continuous_phrase	(ik|je) last van	bothered by			Neg					
adjective_term_reader_related		breathless			A					
adjective_term_book_related	adembenemend	breathtaking			A					
adjective_term_book_related		breezy	@style		S					
noun_discontinuous_phrase		breezy read			S					
noun_term_book_related	beknoptheid	brevity			Neu					
noun_term_book_related		brilliance			A					
noun_term_book_related		brilliance	@plot		N					
noun_term_book_related		brilliance	@character		N					
noun_term_book_related		brilliance	@style		S					
adjective_term_book_related		brilliant	@general		A					
adjective_term_book_related	geniaal	brilliant	@plot		N					
adjective_term_book_related		brilliant	@style		S					
other		brilliantly	@style		S					
adjective_term_book_related		brutal			A					
noun_continuous_phrase		build-up			N					
noun_term_book_related	opbouw	buildup			N					
noun_term_book_related		bummer			Neg					
noun_continuous_phrase	bij (de|je|mijn) strot	by (the|your|my) throat			Att					
noun_continuous_phrase	bij (de|je|mijn) strot	by (the|your|my) throat			A					
verb_term		captivate			Att					
verb_term	boeien	captivate	@plot		N					
verb_term		captivate	@topic		R					
verb_term		captivate			N					
adjective_term_reader_related	geboeid	captivated	@character		N					
adjective_term_reader_related	geboeid	captivated	@plot		N					
adjective_term_reader_related		captivated	@style		S					
adjective_term_reader_related		captivated	@topic		R					
adjective_term_book_related	boeiend	captivating			Att					
adjective_term_book_related	boeiend	captivating	@plot		N					
adjective_term_book_related		captivating	@topic		R					
adjective_term_book_related	boeiend	captivating	@style		S					
adjective_term_book_related	boeiend	captivating	@character		N					
adjective_term_book_related	boeiend	captivating			A					
noun_term_book_related		caricature			Neg					
verb_continuous_phrase	meegesleept	carried away			Att					
verb_continuous_phrase	meegesleept	carried away			A					
verb_term	pakken	catch	@plot		N					
adjective_term_book_related	pakkend	catchy			Att					
adjective_term_book_related	pakkend	catchy			A					
adjective_term_book_related	cerebraal	cerebral	%palsy	y	Neu					
verb_term	het schuurt	chafe	@reader		Neg					
adjective_term_book_related	uitdagend	challenging			R					
noun_term_book_related	charme	charm	@general		A					
adjective_term_book_related	charmant	charming	@plot		N					
adjective_term_book_related	charmant	charming	@character		N					
adjective_term_book_related	charmant	charming	@style		S					
adjective_term_book_related	charmant	charming	@general		A					
noun_term_reader_related	juichen	cheer	%(squad|camp|leader|leaders)	y	N					
verb_term	juichen	cheer			N					
adjective_term_reader_related	vrolijk	cheerful	@character		N					
adjective_term_reader_related	vrolijk	cheerful	@style		S					
adjective_term_reader_related	vrolijk	cheerful	@reader		A					
adjective_term_book_related		cheesy			Neg					
adjective_term_book_related	kinderachtig	childish	childish		Neg					
noun_term_reader_related	rilling	chill			A					
adjective_term_book_related	huiveringwekkend	chilling	@plot		N					
adjective_term_book_related	huiveringwekkend	chilling	@character		N					
adjective_term_book_related	huiveringwekkend	chilling			A					
noun_continuous_phrase	woordkeuze	choice of words			S					
verb_term	grinniken	chuckle			H					
noun_term_book_related	helderheid	clarity	@plot		N					
noun_term_book_related	helderheid	clarity	@style		S					
adjective_term_book_related	claustrofobisch	claustrophobic			A					
adjective_term_book_related	duidelijk	clear	@style		S					
noun_continuous_phrase	duidelijk beeld	clear image			S					
adjective_term_book_related	knap	clever	@style		S					
adverb_term_book_related		cleverly	@style		S					
noun_term_book_related	spitsvondigheid	cleverness			A					
adjective_term_book_related	clichematig	cliched			Neg					
adjective_term_book_related	troostend	comforting			A					
other		comic	%book*	y	H					
adjective_term_book_related	komisch	comical			H					
adjective_term_book_related	meeslepend	compelling			Att					
adjective_term_book_related	meeslepend	compelling	@character		N					
adjective_term_book_related	meeslepend	compelling	@plot		N					
adjective_term_book_related	meeslepend	compelling	@style		S					
adjective_term_book_related	meeslepend	compelling			A					
verb_term		complain	@reader		Neg					
noun_term_book_related		complaint			Neg					
adjective_term_book_related		complex	@topic		R					
noun_term_book_related	compliment	compliment			A					
adjective_term_book_related		concise	@style		S					
adjective_term_book_related		condescending			Neg					
verb_term	confronteren	confront	@reader		R					
adjective_term_reader_related	geconfronteerd	confronted	@reader		R					
adjective_term_book_related	verwarrend	confusing	@reader		Neg					
adjective_term_book_related		confusing	%(beginning)		R					
adjective_term_reader_related		conscious	@reader		R					
noun_term_reader_related	beschouwing	consideration			R					
verb_term_reader_related		contemplate	@reader		R					
noun_term_reader_related		contemplation			R					
adjective_term_reader_related		contemplative			R					
noun_term_reader_related		contentment	@reader		A					
adjective_term_book_related	gekunsteld	contrived			Neg					
adjective_term_book_related	controversieel	controversial			R					
verb_term	overtuigen	convince	@reader		R					
adjective_term_book_related	overtuigend	convincing	@character		N					
adjective_term_book_related		convincing	@plot		N					
adjective_term_book_related	overtuigend	convincing			R					
adjective_term_book_related	overtuigend	convincing	@style		S					
adjective_term_book_related		convoluted			Neg					
other	gaaf	cool	%head	y	A					
adjective_term_book_related		corny			Neg					
adjective_term_book_related	gek	crazy			A					
adjective_term_book_related	creatief	creative			A					
adjective_term_book_related		credible			R					
adjective_term_book_related	griezelig	creepy			A					
adjective_term_book_related		crisp			S					
noun_term_book_related		criticism			Neg					
adjective_term_book_related	cru	crude			Neg					
verb_term	huilen	cry			N					
adjective_term_book_related	omslachtig	cumbersome			Neg					
noun_term_reader_related	nieuwsgierigheid	curiosity	@reader		R					
adjective_term_reader_related	benieuwd	curious	#(end|ends|ending)		N					
adjective_term_reader_related	benieuwd	curious	%(part|series|sequel)		N					
adjective_term_reader_related	nieuwsgierig	curious	@plot		N					
adjective_term_reader_related	nieuwsgierig	curious	@character		N					
adjective_term_reader_related	benieuwd	curious	@reader		R					
adjective_term_book_related	schattig	cute			A					
adjective_term_book_related	cynisch	cynical	@general		Neg					
adjective_term_book_related	cynisch	cynical	@character		Neg					
adjective_term_book_related	cynisch	cynical	@reader		Neg					
noun_term_reader_related	cynisme	cynicism	@general		Neg					
noun_term_reader_related	cynisme	cynicism	@character		Neg					
noun_term_reader_related	cynisme	cynicism	@reader		Neg					
noun_term_book_related	domper	damper			Neg					
adjective_term_book_related	gewaagd	daring	@reader		A					
adjective_term_book_related		dazzling	%looks	y	A					
adjective_term_book_related		decent			A					
noun_continuous_phrase	diep* betek*	deep* meaning*			R					
adjective_term_book_related		deft			S					
adjective_term_book_related		delicate	@plot		N					
adjective_term_book_related		delicate	@style		S					
adjective_term_book_related		delicious	@general		A					
adjective_term_book_related	heerlijk	delicious	@plot		N					
noun_term_reader_related	verrukking	delight			A					
adjective_term_book_related	verrukt	delighted			A					
adjective_term_book_related	verrukkelijk	delightful	@general		A					
adjective_term_book_related	heerlijk	delightful	@style		S					
adverb_term_book_related		delightfully	@style		S					
verb_term		delve			N					
adjective_term_book_related	deprimerend	depressing			A					
noun_term_book_related	diepgang	depth	%lack*	y	A					
noun_term_book_related		depth	%lack*	y	R					
noun_term_book_related		depth	%lack*		Neg					
verb_continuous_phrase	beschrijven	describe in			S					
adjective_term_book_related		descriptive			Neu					
noun_discontinuous_phrase	(lust om) (te lezen)	desire to read			Att					
adjective_term_book_related		desolate			A					
adjective_term_book_related	omstandig	detailed			S					
verb_term		devour			Att					
noun_term_book_related		dialogue			Neu					
noun_term_book_related		diction			Neu					
noun_continuous_phrase		different take on			R					
verb_discontinuous_phrase	moeilijk (wegleggen|leggen|stoppen)	difficult to (put down|quit|stop)			Att		overlap met r. 123			
verb_discontinuous_phrase	moeilijk (wegleggen|leggen|stoppen)	difficult to (put down|quit|stop)			A					
noun_term_book_related	dilemma	dilemma			R					
verb_term	tegenvallen	disappoint	%not	y	Neg					
adjective_term_reader_related	teleurgesteld	disappointed			Neg					
adjective_term_book_related	teleurstellend	disappointing			Neg					
noun_term_book_related	teleurstelling	disappointment			Neg					
noun_term_reader_related	ongeloof	disbelief	%suspend	y	Neg					
adjective_term_book_related		discerning			R					
adjective_term_book_related	onthutsend	disconcerting			A					
adjective_term_book_related		disconnected	@reader		Neg					
noun_term_reader_related	walging	disgust	@reader		Neg					
adjective_term_book_related		disjointed			Neg					
noun_term_reader_related	hekel	dislike			Neg					
adjective_term_book_related	onsmakelijk	distasteful			Neg					
adjective_term_book_related	apart	distinct	@style		S					
noun_discontinuous_phrase		distinct voice			S					
adjective_term_book_related		distracting			Neg					
adjective_term_book_related	storend	disturbing			A					
adjective_term_book_related	afwisselend	diverse			A					
noun_term_book_related		downer			Neg					
verb_continuous_phrase	sleep* (je|me) mee	drag (you|me) along			Att					
verb_continuous_phrase	sleep* (je|me) mee	drag (you|me) along			A					
noun_term_book_related	drama	drama			N					
adjective_term_book_related	dramatisch	dramatic			N					
adjective_term_book_related		dreadful	@general		Neg					
adjective_term_book_related	dromerig	dreamy			A					
verb_term		dribble			Neg					
noun_term_book_related		dribble			Neg					
adjective_term_book_related	droog	dry	%(humor|humour|wit|way)		H					
adjective_term_book_related		dull			Neg					
noun_term_book_related	saaiheid	dullness			Neg					
adjective_term_book_related		dumb	@general		Neg					
adjective_term_reader_related		eager to (read|finish|see)			Att					
verb_discontinuous_phrase	(eenvoudig|makkelijk|gemakkelijk) volgen	easy to follow			N					
verb_discontinuous_phrase		easy to imagine			N					
verb_continuous_phrase	(makkelijk|gemakkelijk) te lezen	easy to read			S					
verb_discontinuous_phrase		easy to relate			N					
adjective_term_book_related		eccentric			A					
adjective_term_book_related	leerzaam	educational			R					
noun_discontinuous_phrase	uitwerking	effect on (me|you|reader)			A					
adjective_term_book_related	elegant	elegant	@style		S					
other		elegantly	@style		S					
noun_continuous_phrase		element of surprise			Sur					
noun_term_book_related		eloquence			S					
adjective_term_book_related		eloquent			S					
other		eloquently			S					
noun_term_reader_related	emotie	emotion	@reader		A					
adjective_term_reader_related	emotioneel	emotional	@reader		A					
noun_term_reader_related	empathie	empathy			N					
adjective_term_reader_related	betoverd	enchanted	@reader		A					
adjective_term_book_related	betoverend	enchanting			A					
adjective_term_book_related	bemoedigend	encouraging			A					
adjective_term_book_related		endearing			A					
adjective_term_book_related		energetic	@general		A					
adjective_term_book_related		energetic	@plot		N					
verb_term	aangrijpen	engage	%to	y	A					
verb_term		engage	@topic		R					
adjective_term_reader_related		engaged	@topic		R					
adjective_term_reader_related		engaged	%(to)	y	R					
adjective_term_book_related		engaging			A					
adjective_term_book_related		engaging	@topic		R					
verb_term		engross			Att					
adjective_term_book_related		enigmatic			N					
verb_term	genieten	enjoy	@general		A					
verb_term	genieten	enjoy	@character		N					
verb_term	genieten	enjoy	@plot		N					
verb_term	genieten	enjoy	@topic		R					
verb_term	genieten	enjoy	@style		S					
adjective_term_book_related	plezierig	enjoyable	@general		A					
adjective_term_book_related	plezierig	enjoyable	@plot		N					
adjective_term_book_related	plezierig	enjoyable	@character		N					
adjective_term_book_related	plezierig	enjoyable	@style		S					
noun_term_reader_related		enjoyment			A					
adjective_term_book_related	verhelderend	enlightening			R					
adjective_term_book_related	onderhoudend	entertaining	@plot		N					
adjective_term_book_related	onderhoudend	entertaining	@character		N					
adjective_term_book_related	onderhoudend	entertaining	@style		S					
adjective_term_book_related	onderhoudend	entertaining			A					
noun_term_book_related		entertainment			A					
noun_term_reader_related	enthousiasme	enthusiasm	@reader		A					
adjective_term_book_related		enticing			A					
adjective_term_reader_related		entranced			A					
adjective_term_reader_related		entranced			Att					
adjective_term_book_related		entrancing			A					
adjective_term_book_related		entrancing			Att					
verb_term		envision	@reader		N					
adjective_term_book_related	erudiet	erudite			S					
noun_term_book_related		escapism			N					
adjective_term_book_related		evocative			A					
adjective_term_book_related	uitstekend	excellent	@general		A					
adjective_term_book_related	uitstekend	excellent	@plot		N					
adjective_term_book_related	uitstekend	excellent	@character		N					
adjective_term_book_related	uitstekend	excellent	@topic		R					
adjective_term_book_related	uitstekend	excellent	@style		S					
adjective_term_book_related	uitzonderlijk	exceptional	@plot		N					
adjective_term_book_related	uitzonderlijk	exceptional	@character		N					
adjective_term_book_related	uitzonderlijk	exceptional	@style		S					
adjective_term_book_related	uitzonderlijk	exceptional			A					
adjective_term_book_related		excessive			Neg					
adjective_term_book_related	spannend	exciting	@plot		N					
adjective_term_book_related	spannend	exciting			A					
adjective_term_book_related	vermoeiend	exhausting			Neg					
verb_discontinuous_phrase		expan* mind			R					
noun_continuous_phrase		expecting something			N					
verb_term	meebeleven	experience	@reader		N					
adjective_term_book_related		exquisite	@plot		N					
adjective_term_book_related		exquisite	@character		N					
adjective_term_book_related		exquisite	@style		S					
adjective_term_book_related		exquisite			A					
adjective_term_book_related	buitengewoon	extraordinary	@plot		N					
adjective_term_book_related	buitengewoon	extraordinary	@character		N					
adjective_term_book_related	buitengewoon	extraordinary	@style		S					
adjective_term_book_related	buitengewoon	extraordinary			A					
adjective_term_book_related	fabelachtig	fabulous	@plot		N					
adjective_term_book_related	fabelachtig	fabulous	@character		N					
adjective_term_book_related	fabelachtig	fabulous	@style		S					
adjective_term_book_related	fabelachtig	fabulous			A					
adjective_term_book_related	fantastisch	fantastic	@general		A					
adjective_term_book_related	fantastisch	fantastic	@plot		N					
adjective_term_book_related	fantastisch	fantastic	@character		N					
adjective_term_book_related	fantastisch	fantastic	@style		S					
adverb_term_book_related		fantastically	@style		S					
adjective_term_book_related		far-fetched			Neg					
verb_term		fascinate	@topic		R					
adjective_term_reader_related	gefascineerd	fascinated			A					
adjective_term_reader_related		fascinated	@topic		R					
adjective_term_book_related	fascinerend	fascinating			A					
adjective_term_book_related		fascinating	@topic		R					
noun_term_book_related	fascinatie	fascination	@reader		A					
verb_term		fear	@reader		A					
verb_continuous_phrase		fed up	@reader		Neg					
noun_term_reader_related	gevoel	feeling			A					
adjective_term_book_related		feisty			N					
verb_discontinuous_phrase		figure out	@reader		R					
noun_continuous_phrase	flat (character|characters)	flat (character|characters)			Neg					
noun_term_book_related		flaw			Neg					
noun_term_book_related		flow			N					
adjective_term_book_related		fluid	@style		S					
noun_continuous_phrase	stof tot nadenken	food for thought			R					
adjective_term_book_related		forgettable			Neg					
adjective_term_book_related		formulaic			Neg					
adjective_term_book_related	fris	fresh	@plot		N					
adjective_term_book_related	fris	fresh	@character		N					
adjective_term_book_related	fris	fresh	@style		S					
adjective_term_reader_related	angstig	frightened	@reader		N					
adjective_term_book_related	beangstigend	frightening			N					
verb_term	frustreren	frustrate			Neg					
adjective_term_reader_related	gefrustreerd	frustrated			Neg					
adjective_term_book_related		frustrating			Neg					
noun_term_reader_related	pret	fun	@general		A					
noun_term_reader_related	pret	fun	@character		N					
noun_term_reader_related	pret	fun	@plot		N					
noun_term_reader_related	pret	fun	@style		S					
adjective_term_book_related	grappig	funny			H					
adjective_term_reader_related	woedend	furious	@reader		A					
noun_term_book_related	pareltje	gem			A					
adjective_term_book_related		generic			Neg					
noun_term_book_related		genius	@author		A					
adjective_term_book_related	geniaal	genius	@plot		N					
adjective_term_book_related	geniaal	genius	@style		S					
adjective_term_book_related		genuine	@character		N					
adjective_term_book_related		genuine	@plot		N					
adjective_term_book_related		genuine	@style		S					
adjective_term_book_related		genuine			A					
adjective_term_book_related		gifted	@author		A					
adjective_term_reader_related		glad			A					
adjective_term_book_related		glib	@style		Neg					
adjective_term_book_related		glib	@general		Neg					
adjective_term_book_related	duister	gloomy			A					
adjective_term_reader_related		glued			A					
adjective_term_reader_related		glued			Att					
adjective_term_book_related		good	@general		A					
adjective_term_book_related		good	@plot		N					
adjective_term_book_related		good	@character		N					
adjective_term_book_related		good	@style		S					
noun_term_reader_related	kippenvel	goosebumps			A					
adjective_term_book_related	heerlijk	gorgeous	@plot		N					
adjective_term_book_related		gory			A					
verb_term	grijpen	grab	@reader		Att					
verb_term	pakken	grab	@reader		A					
adjective_term_book_related	groots	grand	@general		A					
adjective_term_book_related	groots	grand	@plot		N					
adjective_term_book_related	groots	grand	@style		S					
verb_term	vastpakken	grasp			R					
adjective_term_book_related	schurend	grating			Neg					
adjective_term_book_related	geweldig	great	@general		A					
adjective_term_book_related	geweldig	great	@plot		N					
adjective_term_book_related	geweldig	great	@plot		N					
adjective_term_book_related	geweldig	great	@character		N					
adjective_term_book_related	geweldig	great	@topic		R					
adjective_term_book_related	geweldig	great	@style		S					
noun_term_reader_related		grief	@reader		A					
noun_term_book_related	verdriet	grief	@reader		N					
adjective_term_reader_related	grimmig	grim			A					
verb_term		grip			Att					
verb_term		grip			N					
verb_term		gripping			Att					
verb_term		gripping			N					
adjective_term_book_related		gritty			A					
adjective_term_book_related		grotesque	@character		N					
adjective_term_book_related		grotesque			A					
adjective_term_book_related		gruesome			A					
adjective_term_book_related	afgezaagd	hackneyed			Neg					
adjective_term_reader_related	blij	happy	@reader		A					
adjective_term_reader_related	gelukkig	happy	@plot		N					
adjective_term_book_related		harrowing			A					
adjective_term_book_related		haunting	@style		S					
adjective_term_book_related		haunting	@character		N					
adjective_term_book_related		haunting			A					
noun_term_book_related		heartache			A					
noun_term_book_related		heartbreak			A					
adjective_term_reader_related	hartgrondig	heartfelt			A					
noun_term_reader_related		heartstrings			A					
adjective_term_book_related		heavy-handed			Neg					
adjective_term_book_related		heinous			A					
adjective_term_book_related	hilarisch	hilarious			H					
adjective_term_book_related		hokey			Neg					
adjective_term_book_related		honest	%review	y	A					
noun_continuous_phrase	eerlijk* (boek|verhaal|verhalen|portret*|wijze|verslag|beschrijving|manier)	honest* (book|story|stories|portrait*|way|account|description|descriptions)			A					
verb_continuous_phrase		hooked (me|you)			Att					
verb_continuous_phrase		hooked (me|you)			N					
adjective_term_book_related	hoopvol	hopeful			A					
adjective_term_book_related	gruwelijk	horrible			N					
adjective_term_book_related	gruwelijk	horrible (style|plot|characters|story|book)			Neg					
adjective_term_book_related		horrific			N					
adjective_term_book_related		horrifying			N					
noun_term_reader_related	knuffel	hug	@reader		A					
noun_continuous_phrase		human condition			R					
adjective_term_book_related	humoristisch	humorous			H					
adjective_term_book_related	kwetsend	hurtful			N					
noun_term_book_related	idee	idea	%(no|good)	y	R					
verb_term	identificeren	identify			N					
noun_term_book_related		image	@reader		S					
noun_term_book_related		imagery			S					
noun_term_book_related	verbeelding	imagination	%stretch	y	N					
noun_term_book_related		imagination	@reader		R					
adjective_term_book_related	fantasierijk	imaginative			N					
verb_term	voorstellen	imagine			N					
verb_term		imagine	@reader		R					
adjective_term_book_related	onvolwassen	immature	@general		Neg					
verb_term		immerse			N					
adjective_term_reader_related	ondergedompeld	immersed			N					
adjective_term_book_related		immersive			N					
noun_term_reader_related		impatience			N					
adjective_term_reader_related		impatient	%(installment|part|book|series)	y	Neg					
adjective_term_book_related		implausible			Neg					
noun_continuous_phrase	belangrijk* (onderwerp|onderwerpen|thema|thema's)	important (subject|subjects|topic|topics|theme|themes)			R					
verb_continuous_phrase	onder de indruk	impressed			A					
adjective_term_reader_related		impressed	@reader		R					
adjective_term_book_related	indrukwekkend	impressive			A					
adjective_term_book_related	indrukwekkend	impressive	@plot		N					
adjective_term_book_related		impressive	@character		N					
noun_continuous_phrase	in te leven	in (his|her|their) shoes			N					
noun_continuous_phrase	in (zijn|z'n|haar|m'n|mijn|je) (greep|grip)	in (its|his|her) (grip|grasp)			Att					
noun_continuous_phrase	in (zijn|z'n|haar|m'n|mijn|je) (greep|grip)	in (its|his|her) (grip|grasp)			N					
noun_continuous_phrase	in mijn gedachten	in (my|your) mind	%doubt	y	A					
noun_continuous_phrase	in (een|één) zucht	in (one|a single) (go|sitting|session)			Att					
noun_continuous_phrase	in (een|één) zucht	in (one|a single) (go|sitting|session)			A					
adjective_term_book_related		in-depth			R					
adjective_term_book_related	onsamenhangend	incoherent	@plot		Neg					
adjective_term_book_related	onsamenhangend	incoherent	@style		Neg					
adjective_term_book_related	onbegrijpelijk	incomprehensible			Neg					
adjective_term_book_related		inconsistent			Neg					
adjective_term_book_related		incredible			A					
adjective_term_book_related	ontzettend	incredible	@character		N					
adjective_term_book_related		incredible	@style		S					
adverb_term_book_related		incredibly	@character		N					
adverb_term_book_related	ontzettend	incredibly	@style		S					
adjective_term_reader_related	onverschillig	indifferent			Neg					
adjective_term_book_related		infantile			Neg					
adjective_term_book_related	informatief	informative			R					
adjective_term_book_related	vernuftig	ingenious	@plot		N					
adjective_term_book_related	vernuftig	ingenious			A					
noun_term_book_related	vernuft	ingenuity	@plot		N					
noun_term_book_related	vernuft	ingenuity			A					
adjective_term_book_related	vernieuwend	innovative			A					
noun_term_book_related		innuendo			H					
adjective_term_reader_related	gestoord	insane			A					
verb_discontinuous_phrase	(je|ik) (zat|zit) (in het verhaal)	inside the story			Att					
verb_discontinuous_phrase	(je|ik) (zat|zit) (in het verhaal)	inside the story			N					
adjective_term_book_related	inzichtelijk	insightful			R					
adjective_term_book_related		insipid			Neg					
verb_term		inspire	%(inspired)	y	R					
adjective_term_book_related	inspirerend	inspiring			A					
adjective_term_book_related		instructive			R					
adjective_term_book_related	intelligent	intelligent	@plot		N					
adjective_term_book_related	intelligent	intelligent			A					
adjective_term_book_related	intens	intense	@general		A					
adjective_term_book_related	intens	intense	@character		N					
adjective_term_book_related		intense	@plot		N					
adjective_term_book_related	intens	intense	@style		S					
adverb_term_book_related		intensely	@style		S					
noun_term_book_related	intensiteit	intensity			N					
noun_term_reader_related	interesse	interest	%lost	y	Att					
noun_term_reader_related	interesse	interest	%lost	y	A					
verb_term	boeien	interest			A					
verb_term		interest	@topic		R					
noun_term_reader_related		interest	%(love|romantic|special)	y	R					
adjective_term_reader_related	geboeid	interested	@character		N					
adjective_term_reader_related	geboeid	interested	@plot		N					
adjective_term_book_related	interessant	interesting	@general		A					
adjective_term_book_related	boeiend	interesting	@plot		N					
adjective_term_book_related	interessant	interesting	@character		N					
adjective_term_book_related	interessant	interesting	@topic		R					
adjective_term_book_related	interessant	interesting	@style		S					
adjective_term_book_related		intricate	@character		N					
adjective_term_book_related		intricate	@plot		N					
adjective_term_book_related		intricate	@style		S					
adjective_term_book_related		intricate	@topic		R					
verb_term	intrigeren	intrigue			N					
adjective_term_reader_related	geïntrigeerd	intrigued			N					
adjective_term_book_related	intrigerend	intriguing			N					
adjective_term_book_related		intriguing	@topic		R					
adjective_term_book_related	intrigerend	intriguing	@style		S					
adverb_term_book_related		intriguingly	@style		S					
adjective_term_book_related	vindingrijk	inventive	@plot		N					
adjective_term_book_related	vindingrijk	inventive	@style		S					
adjective_term_book_related	vindingrijk	inventive			A					
verb_continuous_phrase		involve (me|you|reader)			N					
adjective_term_book_related	ironisch	ironic			H					
noun_term_reader_related	ironie	irony			H					
verb_term	irriteren	irritate	@reader		Neg					
adjective_term_reader_related	geirriteerd	irritated	@reader		Neg					
adjective_term_book_related		irritating			Neg					
noun_term_reader_related	irritatie	irritation	@reader		Neg					
verb_term		jar			Neg					
adjective_term_book_related		jarring			Neg					
other		joking			H					
noun_term_book_related		jolt			Sur					
verb_term		jolt			Sur					
noun_term_reader_related	plezier	joy			A					
adjective_term_book_related		joyful			A					
adjective_term_book_related	sappig	juicy			A					
noun_term_book_related	gemis	lack	@plot		Neg					
noun_term_book_related	gemis	lack	@character		Neg					
noun_term_book_related	gemis	lack	@style		Neg					
noun_term_book_related	gemis	lack	@topic		Neg					
adjective_term_book_related		lacking			Neg					
adjective_term_book_related	flauw	lame			Neg					
noun_continuous_phrase	taalgebruik	language (use|uses|used)			S					
verb_term	lachen	laugh	@reader		H					
noun_term_reader_related	lach	laugh			H					
